SlideNumber;MeanROI1;MeanROI2;MeanROI3;MeanROI4;MeanROI5;StDevROI1;StDevROI2;StDevROI3;StDevROI4;StDevROI5;ValidPixelROI1;ValidPixelROI2;ValidPixelROI3;ValidPixelROI4;ValidPixelROI5
175;-0.0466000;-0.130500;-0.185700;0.0679000;-0.266300;127834;119194;1.23486;1.23108;1.19127;7754;7875;6558;3918;6931
176;-0.0792000;-0.165400;-0.156300;0.0984000;-0.283200;127660;119392;1.23211;1.24833;1.19327;7754;7877;6558;3918;6931
177;-0.0335000;-0.162600;-0.185700;0.0861000;-0.255900;127655;121004;1.23179;1.20527;1.20056;7754;7876;6558;3918;6931
178;-0.0559000;-0.157800;-0.178700;0.0498000;-0.241900;121932;120359;1.20375;1.19278;1.1723;7754;7877;6558;3918;6931
179;-0.0671000;-0.149000;-0.112800;0.0586000;-0.262800;124230;122627;1.21015;1.23699;1.19826;7754;7877;6558;3918;6931
180;-0.0200000;-0.130100;-0.149500;0.0820000;-0.226100;127621;122084;1.23829;1.22373;1.20434;7754;7874;6558;3918;6931
181;-0.0174000;-0.146300;-0.159800;-0.00540000;-0.304000;125968;120258;1.24943;1.21738;1.16848;7754;7874;6558;3918;6931
182;-0.00910000;-0.120400;-0.194500;0.0167000;-0.250600;129670;122312;1.20691;1.25364;1.17444;7754;7875;6558;3918;6931
183;-0.0169000;-0.120400;-0.176600;0.114000;-0.273800;128641;120649;1.24691;1.2892;1.21221;7754;7873;6558;3918;6931
184;-0.0598000;-0.159500;-0.178500;0.0871000;-0.226900;125886;121691;1.22741;1.22856;1.20546;7754;7874;6558;3918;6931
185;-0.0282000;-0.141100;-0.156500;0.0712000;-0.238200;124413;119534;1.22919;1.19936;1.22957;7754;7876;6558;3918;6931
186;-0.0289000;-0.0892000;-0.192600;0.0477000;-0.235200;124761;120913;1.24385;1.18902;1.18412;7754;7874;6558;3918;6931
187;-0.0953000;-0.137400;-0.202200;0.148700;-0.242400;125917;119274;1.22937;1.24103;1.18272;7754;7875;6558;3918;6931
188;0.00620000;-0.137400;-0.182800;0.0900000;-0.206500;126170;119051;1.25069;1.23735;1.1938;7754;7876;6558;3918;6931
189;-0.0271000;-0.114800;-0.123900;0.0338000;-0.229600;127586;122382;1.2468;1.23793;1.19611;7754;7877;6558;3918;6931
190;-0.0971000;-0.140800;-0.144500;0.0738000;-0.269800;125508;121412;1.2559;1.25037;1.1993;7754;7877;6558;3918;6931
191;-0.0212000;-0.130500;-0.182700;0.117600;-0.284300;129187;119786;1.23384;1.23219;1.17219;7754;7874;6558;3918;6931
192;-0.0267000;-0.146100;-0.193800;0.140100;-0.224800;124707;118704;1.22671;1.20278;1.19927;7754;7874;6558;3918;6931
193;-0.0259000;-0.136900;-0.164800;0.0792000;-0.200600;124164;120689;1.24741;1.21326;1.20071;7754;7876;6558;3918;6931
194;-0.0502000;-0.136100;-0.146100;0.0154000;-0.248700;127431;121708;1.22252;1.23473;1.1998;7754;7876;6558;3918;6931
195;-0.0722000;-0.128500;-0.195200;0.0250000;-0.233100;124811;120950;1.20551;1.19553;1.18199;7754;7872;6558;3918;6931
196;-0.0458000;-0.142600;-0.181100;0.109400;-0.246700;124904;117662;1.22131;1.21179;1.19985;7754;7876;6558;3918;6931
197;-0.0421000;-0.141400;-0.170600;0.127500;-0.243400;124830;123666;1.22357;1.22065;1.20698;7754;7876;6558;3918;6931
198;-0.0785000;-0.0678000;-0.224200;-0.00870000;-0.300200;126937;122506;1.23584;1.19405;1.18841;7754;7872;6558;3918;6931
199;-0.00800000;-0.163100;-0.176400;0.111300;-0.220200;126330;122623;1.22245;1.21544;1.21084;7754;7877;6558;3918;6931
200;-0.0774000;-0.136500;-0.223700;0.111200;-0.267600;122197;119906;1.23936;1.25383;1.16172;7754;7873;6558;3918;6931
201;-0.0676000;-0.0809000;-0.139600;-0.00530000;-0.247200;126244;122438;1.23717;1.22014;1.22562;7754;7874;6558;3918;6931
202;-0.0990000;-0.155600;-0.168600;0.0713000;-0.288600;125382;119452;1.23531;1.19293;1.20872;7754;7876;6558;3918;6931
203;-0.0859000;-0.147000;-0.157600;0.0165000;-0.220800;125444;120348;1.25785;1.20353;1.19512;7754;7874;6558;3918;6931
204;-0.0530000;-0.126600;-0.135000;0.130000;-0.222900;125801;122182;1.23892;1.20109;1.20033;7754;7877;6558;3918;6931
205;-0.0723000;-0.136700;-0.187000;0.0255000;-0.265800;125824;121059;1.24033;1.25069;1.20253;7754;7875;6558;3918;6931
